Year,ProsperRating,1th Percentile,Average,Median,99th Percentile,Number of Loans
2009,A,0.0509,0.080575764,0.0727,0.15545,458
2009,AA,0.03698,0.068925926,0.0655,0.1252,297
2009,B,0.062953,0.094668367,0.0876,0.18864,98
2009,C,0.040973,0.121670769,0.1211,0.246711,390
2009,D,0.01214,0.144375676,0.1477,0.2313,333
2009,E,-0.004772,0.146906218,0.1768,0.1843,193
2009,HR,-0.1816,0.067055072,0.102,0.1399,207
2010,A,0.043392,0.065259502,0.0608,0.118576,963
2010,AA,0.03179,0.059436307,0.0555,0.1248,639
2010,B,0.036735,0.077839739,0.0772,0.133235,536
2010,C,0.031413,0.117071212,0.1196,0.212938,594
2010,D,0.02126,0.143932799,0.1504,0.22327,1311
2010,E,0.024901,0.154602857,0.1761,0.1843,630
2010,HR,-0.10477,0.087375938,0.1212,0.1399,906
2011,A,0.0369,0.07443002,0.0766,0.1205,1479
2011,AA,0.0245,0.053633394,0.0554,0.0903,551
2011,B,0.0488,0.095406087,0.0963,0.142,1610
2011,C,0.0793,0.112245158,0.1147,0.1595,888
2011,D,0.08684,0.135044699,0.1357,0.1755,3273
2011,E,0.0982,0.144854727,0.1487,0.1561,2306
2011,HR,0.0887,0.113573773,0.1148,0.1267,1121
2012,A,0.0309,0.077367862,0.0718,0.1222,2760
2012,AA,0.0381,0.061196375,0.055,0.0933,1076
2012,B,0.0435,0.101585086,0.0953,0.1389,3071
2012,C,0.0524,0.117811694,0.111,0.1492,3891
2012,D,0.0584,0.125953104,0.11955,0.1634,3222
2012,E,0.06459,0.130052784,0.12695,0.1588,1904
2012,HR,0.1124,0.122810168,0.1246,0.1271,3629
2013,A,0.05342,0.068441074,0.0691,0.0821,5943
2013,AA,0.03864,0.049764881,0.05047,0.0554,1721
2013,B,0.0697,0.083766379,0.08268,0.1127,7558
2013,C,0.07713,0.093103451,0.08976,0.126134,9223
2013,D,0.0618,0.102308637,0.1025,0.130172,5017
2013,E,0.09414,0.109950312,0.10941,0.1335,3914
2013,HR,0.10431,0.114674149,0.11348,0.1185,969
2014,A,0.05293,0.062180339,0.06388,0.0691,2948
2014,AA,0.04231,0.046449329,0.04806,0.04929,1088
2014,B,0.06491,0.071943818,0.07192,0.07517,2708
2014,C,0.07241,0.079169015,0.07923,0.08284,3359
2014,D,0.07907,0.08660746,0.08578,0.09211,1118
2014,E,0.08956,0.0985702,0.09858,0.10256,848
2014,HR,0.09975,0.10519699,0.10663,0.10663,103
All Years,A,0.05342,0.069645993,0.06663,0.101,14551
All Years,AA,0.04,0.053989637,0.051,0.0854,5372
All Years,B,0.06925,0.086291082,0.08215,0.1272,15581
All Years,C,0.07713,0.09810263,0.0922,0.144,18345
All Years,D,0.0837,0.11872669,0.1163,0.156,14274
All Years,E,0.0962,0.124690276,0.1239,0.1588,9795
All Years,HR,0.0699,0.113625355,0.1221,0.1369,6935
